Year;Month;DayofMonth;DayOfWeek;Actual_Shipment_Time;Planned_Shipment_Time;Planned_Delivery_Time;Carrier_Name;Carrier_Num;Planned_TimeofTravel;Shipment_Delay;Source;Destination;Distance;Delivery_Status
2020;1;3;4;2003;1955;2225;WN;335;150;8;IAD;TPA;810;0
2020;1;3;4;754;735;1000;WN;3231;145;19;IAD;TPA;810;1
2020;1;3;4;628;620;750;WN;448;90;8;IND;BWI;515;0
2020;1;3;4;926;930;1100;WN;1746;90;-4;IND;BWI;515;0
2020;1;3;4;1829;1755;1925;WN;3920;90;34;IND;BWI;515;1
2020;1;3;4;1940;1915;2110;WN;378;115;25;IND;JAX;688;1
2020;1;3;4;1937;1830;1940;WN;509;250;67;IND;LAS;1591;1
2020;1;3;4;1039;1040;1150;WN;535;250;-1;IND;LAS;1591;0
2020;1;3;4;617;615;650;WN;11;95;2;IND;MCI;451;0
2020;1;3;4;1620;1620;1655;WN;810;95;0;IND;MCI;451;0
2020;1;3;4;706;700;915;WN;100;135;6;IND;MCO;828;0
2020;1;3;4;1644;1510;1725;WN;1333;135;94;IND;MCO;828;1
2020;1;3;4;1426;1430;1425;WN;829;55;-4;IND;MDW;162;0
2020;1;3;4;715;715;710;WN;1016;55;0;IND;MDW;162;0
2020;1;3;4;1702;1700;1655;WN;1827;55;2;IND;MDW;162;0
2020;1;3;4;1029;1020;1010;WN;2272;50;9;IND;MDW;162;0
2020;1;3;4;1452;1425;1625;WN;675;240;27;IND;PHX;1489;1
2020;1;3;4;754;745;955;WN;1144;250;9;IND;PHX;1489;0
2020;1;3;4;1323;1255;1510;WN;4;135;28;IND;TPA;838;1
2020;1;3;4;1416;1325;1435;WN;54;70;51;ISP;BWI;220;1
2020;1;3;4;706;705;810;WN;68;65;1;ISP;BWI;220;0
2020;1;3;4;1657;1625;1735;WN;623;70;32;ISP;BWI;220;1
2020;1;3;4;1900;1840;1950;WN;717;70;20;ISP;BWI;220;1
2020;1;3;4;1039;1030;1140;WN;1244;70;9;ISP;BWI;220;0
2020;1;3;4;801;800;910;WN;2101;70;1;ISP;BWI;220;0
2020;1;3;4;1520;1455;1605;WN;2553;70;25;ISP;BWI;220;1
2020;1;3;4;1422;1255;1610;WN;188;195;87;ISP;FLL;1093;1
2020;1;3;4;1954;1925;2235;WN;1754;190;29;ISP;FLL;1093;1
2020;1;3;4;636;635;945;WN;2275;190;1;ISP;FLL;1093;0
2020;1;3;4;734;730;1020;WN;550;350;4;ISP;LAS;2283;0
2020;1;3;4;2107;1945;2230;WN;362;165;82;ISP;MCO;972;1
2020;1;3;4;1008;1005;1255;WN;543;170;3;ISP;MCO;972;0
2020;1;3;4;712;710;1000;WN;1112;170;2;ISP;MCO;972;0
2020;1;3;4;1312;1300;1550;WN;1397;170;12;ISP;MCO;972;0
2020;1;3;4;1449;1430;1720;WN;3398;170;19;ISP;MCO;972;1
2020;1;3;4;1634;1555;1845;WN;3480;170;39;ISP;MCO;972;1
2020;1;3;4;831;830;955;WN;300;145;1;ISP;MDW;765;0
2020;1;3;4;1812;1650;1815;WN;422;145;82;ISP;MDW;765;1
2020;1;3;4;1127;1105;1230;WN;1837;145;22;ISP;MDW;765;1
2020;1;3;4;1424;1355;1520;WN;2871;145;29;ISP;MDW;765;1
2020;1;3;4;1326;1230;1530;WN;1056;180;56;ISP;PBI;1052;1
2020;1;3;4;1749;1725;2030;WN;2175;185;24;ISP;PBI;1052;1
2020;1;3;4;726;720;1020;WN;3319;180;6;ISP;PBI;1052;0
2020;1;3;4;646;640;955;WN;3667;195;6;ISP;RSW;1101;0
2020;1;3;4;1153;1140;1440;WN;2006;180;13;ISP;TPA;1034;0
2020;1;3;4;1528;1510;1810;WN;3858;180;18;ISP;TPA;1034;1
2020;1;3;4;634;635;935;WN;3928;180;-1;ISP;TPA;1034;0
2020;1;3;4;831;830;1140;WN;534;130;1;JAN;BWI;888;0
2020;1;3;4;1450;1435;1745;WN;3244;130;15;JAN;BWI;888;0
2020;1;3;4;2245;1730;1850;WN;186;80;315;JAN;HOU;359;1
2020;1;3;4;615;615;735;WN;971;80;0;JAN;HOU;359;0
2020;1;3;4;1150;1145;1305;WN;2124;80;5;JAN;HOU;359;0
2020;1;3;4;2025;1940;2100;WN;3154;80;45;JAN;HOU;359;1
2020;1;3;4;1038;945;1225;WN;1035;100;53;JAN;MCO;587;1
2020;1;3;4;1900;1850;2045;WN;205;115;10;JAN;MDW;666;0
2020;1;3;4;700;700;900;WN;449;120;0;JAN;MDW;666;0
2020;1;3;4;948;925;940;WN;3430;75;23;JAX;BHM;365;1
2020;1;3;4;646;620;655;WN;1580;95;26;JAX;BNA;484;1
2020;1;3;4;1110;1040;1110;WN;2195;90;30;JAX;BNA;484;1
2020;1;3;4;1535;1535;1610;WN;2804;95;0;JAX;BNA;484;0
2020;1;3;4;1919;1915;1950;WN;3428;95;4;JAX;BNA;484;0
2020;1;3;4;1053;1055;1240;WN;433;105;-2;JAX;BWI;663;0
2020;1;3;4;1433;1440;1625;WN;1331;105;-7;JAX;BWI;663;0
2020;1;3;4;2015;2010;2155;WN;3504;105;5;JAX;BWI;663;0
2020;1;3;4;2139;2130;2240;WN;378;70;9;JAX;FLL;318;0
2020;1;3;4;1500;1500;1615;WN;640;75;0;JAX;FLL;318;0
2020;1;3;4;850;850;1000;WN;1396;70;0;JAX;FLL;318;0
2020;1;3;4;646;645;755;WN;2189;70;1;JAX;FLL;318;0
2020;1;3;4;1221;1220;1330;WN;3312;70;1;JAX;FLL;318;0
2020;1;3;4;1738;1730;1840;WN;3948;70;8;JAX;FLL;318;0
2020;1;3;4;1813;1735;1905;WN;54;150;38;JAX;HOU;816;1
2020;1;3;4;802;750;955;WN;2272;125;12;JAX;IND;688;0
2020;1;3;4;1820;1825;1955;WN;549;90;-5;JAX;ORF;543;0
2020;1;3;4;821;820;945;WN;3604;85;1;JAX;ORF;543;0
2020;1;3;4;1734;1650;1905;WN;23;135;44;JAX;PHL;742;1
2020;1;3;4;712;700;915;WN;1232;135;12;JAX;PHL;742;0
2020;1;3;4;1318;1310;1400;WN;977;50;8;JAX;TPA;180;0
2020;1;3;4;958;900;950;WN;1574;50;58;JAX;TPA;180;1
2020;1;3;4;1859;1850;1945;WN;2019;55;9;JAX;TPA;180;0
2020;1;3;4;1538;1445;1710;WN;500;85;53;LAS;ABQ;487;1
2020;1;3;4;933;935;1200;WN;778;85;-2;LAS;ABQ;487;0
2020;1;3;4;2248;2125;2345;WN;890;80;83;LAS;ABQ;487;1
2020;1;3;4;1327;1230;1500;WN;1171;90;57;LAS;ABQ;487;1
2020;1;3;4;624;625;850;WN;1320;85;-1;LAS;ABQ;487;0
2020;1;3;4;1614;1600;1825;WN;1925;85;14;LAS;ABQ;487;0
2020;1;3;4;1917;1915;2140;WN;2457;85;2;LAS;ABQ;487;0
2020;1;3;4;1832;1655;30;WN;302;275;97;LAS;ALB;2237;1
2020;1;3;4;1229;1155;1555;WN;1079;120;34;LAS;AMA;758;1
2020;1;3;4;1256;1240;1720;WN;155;160;16;LAS;AUS;1090;1
2020;1;3;4;2118;2015;50;WN;2021;155;63;LAS;AUS;1090;1
2020;1;3;4;905;850;1330;WN;3222;160;15;LAS;AUS;1090;0
2020;1;3;4;1739;1640;25;WN;1018;285;59;LAS;BDL;2298;1
2020;1;3;4;906;905;1430;WN;3948;205;1;LAS;BHM;1618;0
2020;1;3;4;816;815;1340;WN;249;205;1;LAS;BNA;1588;0
2020;1;3;4;1325;1240;1810;WN;419;210;45;LAS;BNA;1588;1
2020;1;3;4;1506;1440;2010;WN;2032;210;26;LAS;BNA;1588;1
2020;1;3;4;2039;1930;55;WN;3940;205;69;LAS;BNA;1588;1
2020;1;3;4;924;920;1210;WN;71;110;4;LAS;BOI;520;0
2020;1;3;4;1611;1535;1825;WN;538;110;36;LAS;BOI;520;1
2020;1;3;4;1824;1715;25;WN;2383;250;69;LAS;BUF;1987;1
2020;1;3;4;826;825;925;WN;136;60;1;LAS;BUR;223;0
2020;1;3;4;2118;2015;2115;WN;219;60;63;LAS;BUR;223;1
